City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
79,Dikson,RU,scattered clouds,39.83,87,45,3.22,73.5069,80.5464
80,Longyearbyen,SJ,light rain,49.84,81,75,6.91,78.2186,15.6401
81,Lompoc,US,overcast clouds,60.01,88,100,6.91,34.6391,-120.4579
82,Yellowknife,CA,light intensity shower rain,63.12,63,75,2.3,62.456,-114.3525
83,Ngaoundere,CM,overcast clouds,64.78,93,100,2.57,7.3167,13.5833
84,Mlonggo,ID,scattered clouds,87.04,62,42,10.13,-6.5333,110.7
85,Ostrovnoy,RU,light rain,61.66,89,94,7.83,68.0531,39.5131
86,Bredasdorp,ZA,clear sky,45.45,88,1,8.21,-34.5322,20.0403
87,Taldan,RU,light rain,73.96,81,99,5.66,53.6667,124.8
88,Mahibadhoo,MV,scattered clouds,82.22,72,49,10.65,3.7833,72.9667
89,Port Elizabeth,ZA,clear sky,54.32,65,0,4.0,-33.918,25.5701
90,Balkhash,KZ,clear sky,79.41,25,0,22.37,46.844,74.9804
91,Rawson,AR,clear sky,38.52,59,2,11.1,-43.3002,-65.1023
92,Bethel,US,few clouds,77.36,88,20,4.61,41.3712,-73.414
93,Saldanha,ZA,few clouds,42.85,83,12,7.4,-33.0117,17.9442
94,Mar Del Plata,AR,light rain,43.95,70,0,17.27,-38.0023,-57.5575
95,Kapaa,US,broken clouds,82.38,82,75,17.27,22.0752,-159.319
96,Storforshei,NO,light rain,53.38,94,75,3.44,66.4043,14.5233
97,Provideniya,RU,overcast clouds,48.36,87,100,11.18,64.3833,-173.3
98,Vaini,TO,few clouds,75.36,88,20,6.91,-21.2,-175.2
99,Pisco,PE,mist,55.45,94,100,3.44,-13.7,-76.2167
100,Gigmoto,PH,overcast clouds,87.96,66,97,9.48,13.7796,124.39
101,Ponta Delgada,PT,broken clouds,72.5,83,75,9.22,37.7333,-25.6667
102,Ponta Do Sol,PT,scattered clouds,67.71,69,27,4.61,32.6667,-17.1
103,Cabo San Lucas,MX,clear sky,87.1,72,3,10.27,22.8909,-109.9124
104,Gvarv,NO,clear sky,59.29,94,0,0.0,59.3875,9.1737
105,Cayenne,GF,overcast clouds,78.1,1,100,2.3,4.9333,-52.3333
