City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kautokeino,NO,2022-05-26 02:28:26,69.0125,23.0412,50.67,60,98,5.88
68,Trincomalee,LK,2022-05-26 02:28:27,8.5711,81.2335,82.35,74,96,18.5
69,Peleduy,RU,2022-05-26 02:28:27,59.6289,112.7406,43.9,94,100,13.8
70,Peniche,PT,2022-05-26 02:28:27,39.3558,-9.3811,60.46,89,3,11.88
71,Ola,RU,2022-05-26 02:28:28,59.5833,151.2833,41.14,95,100,12.59
72,Nanortalik,GL,2022-05-26 02:28:28,60.1432,-45.2371,33.71,79,12,8.66
73,Mayo,US,2022-05-26 02:28:28,38.8876,-76.5119,65.12,60,100,5.01
74,Saskylakh,RU,2022-05-26 02:28:29,71.9167,114.0833,28.29,89,93,8.61
75,Coruripe,BR,2022-05-26 02:28:29,-10.1256,-36.1756,75.07,88,92,12.12
76,Geraldton,AU,2022-05-26 02:28:29,-28.7667,114.6,70.21,52,0,17.27
77,Zeya,RU,2022-05-26 02:28:30,53.75,127.2667,72.46,37,40,3.8
78,Khatanga,RU,2022-05-26 02:24:15,71.9667,102.5,31.98,73,27,7.47
79,Nuuk,GL,2022-05-26 02:28:30,64.1835,-51.7216,34.41,75,40,8.05
80,Norman Wells,CA,2022-05-26 02:28:31,65.282,-126.8329,53.64,58,100,4.61
81,Hasaki,JP,2022-05-26 02:28:31,35.7333,140.8333,79.29,70,93,11.12
82,Carutapera,BR,2022-05-26 02:28:32,-1.195,-46.02,73.78,95,24,5.39
83,Arkhangelsk,RU,2022-05-26 02:28:32,64.5401,40.5433,41.11,93,20,4.47
84,Asau,RO,2022-05-26 02:28:32,46.4333,26.4,62.96,80,100,12.46
85,Ondo,NG,2022-05-26 02:28:33,7.1,4.8333,71.13,100,89,1.57
86,Kalmunai,LK,2022-05-26 02:28:33,7.4167,81.8167,80.1,81,99,8.81
87,Mae Sai,TH,2022-05-26 02:28:33,20.4335,99.8762,81.57,72,26,1.9
88,Bilibino,RU,2022-05-26 02:28:34,68.0546,166.4372,58.08,36,100,13.35
89,Iqaluit,CA,2022-05-26 02:28:34,63.7506,-68.5145,10.13,79,20,10.36
90,Bemidji,US,2022-05-26 02:28:34,47.4736,-94.8803,50.18,76,100,4.61
91,Constantine,DZ,2022-05-26 02:28:35,36.365,6.6147,60.21,94,40,5.75
92,Ensley,US,2022-05-26 02:28:35,30.5188,-87.2728,78.39,90,100,17.27
